Title,Price,Subscribers,Reviews,% of Subscribers who Left Reviews,Length (Hrs)
17 Complete JavaScript   projects explained step by step,185,327,26,7.951070336391437,9.5
Mastering Unix : AWK Commands,20,358,0,0.0,2
Cakephp:Creating a CRUD application,40,803,2,0.24906600249066002,0.52
HTML and CSS: A Guide to Web Design,25,1557,13,0.8349389852280027,14
Drupal 8 Site Building,Free,1942,23,1.184346035015448,4.5
Learn Bootstrap 4 The Most Popular HTML5 CSS3 & JS Framework,200,279,37,13.261648745519713,10
Essentials of Spring 5.0 for Developers,125,34,2,5.88235294117647,1.5
The Extreme Web Development Course - For Beginners,200,1420,62,4.366197183098591,5.5
JQuery DOM and Ajax Concept Explained for Beginners,35,1812,112,6.181015452538632,0.62
HTML Forms For Beginners: A Basic Introduction  ,45,2472,41,1.6585760517799353,1
Ultimate JavaScript Objects,20,1525,43,2.819672131147541,2.5
The Complete Web Developer Course - Build 20 Websites,20,2650,61,2.30188679245283,15.5
"Simple Javascript: Learn by Doing, Beginners Welcome!",25,2753,10,0.3632401017072285,2
"Learn HTML, CSS, and Ruby on Rails: Build Your First Blog",20,2985,40,1.340033500837521,1.5
Learn HTML5 Canvas for beginners,100,2360,12,0.5084745762711864,3.5
Bootstrap 4 Beginners: Code a Responsive Landing Page,30,948,193,20.35864978902954,3.5
Build Wordpress CMS Clone with Laravel 5,150,392,81,20.66326530612245,8.5
XML DTD - Crash Course for Beginners,45,944,1,0.1059322033898305,1
Beginner Photoshop to HTML5 and CSS3,Free,73110,1716,2.3471481329503487,2
XPATH :basics for beginners,40,878,6,0.683371298405467,0.62
The Fastest Way to Create a Website Using Godaddy,30,1454,14,0.9628610729023385,0.5
A how to guide in HTML,Free,7318,205,2.801311833834381,0.58
Building Better APIs with GraphQL,50,555,89,16.036036036036037,2.5
Learn Grunt with Examples: Automate Your Front End Workflow,20,496,113,22.782258064516128,1
Build A Stock Downloader With Visual Studio 2015 And C#,20,436,36,8.256880733944955,1.5
jQuery UI in Action: Build 5 jQuery UI Projects,150,382,28,7.329842931937172,15.5
Learn jQuery from Scratch - Master of JavaScript library,100,1040,14,1.3461538461538463,2
How To Design A WordPress Website With No Coding At All,25,306,3,0.9803921568627451,3.5
Learn and Build using Polymer,40,513,169,32.94346978557505,3.5
CSS Animations: Create Amazing Effects on Your Website,50,300,31,10.333333333333334,3
Using MODX CMS to Build Websites: A Beginner's Guide,45,901,36,3.9955604883462823,2
